z_mm,Без перекоса,"G6,3 + номинальная сила",G16 + предельные зазоры
-11.15577889447236,34.933583554853115,36.023491356012336,44.29928137786997
-10.954773869346734,34.933583554853115,36.003853377613076,44.130530065743535
-10.753768844221105,34.933583554853115,35.98421539921381,43.961778753617104
-10.552763819095476,34.933583554853115,35.96457742081454,43.79302744149067
-10.351758793969848,34.933583554853115,35.944939442415276,43.62427612936424
-10.150753768844222,34.933583554853115,35.92530146401601,43.455524817237816
-9.949748743718594,34.933583554853115,35.90566348561675,43.28677350511139
-9.748743718592966,34.933583554853115,35.88602550721748,43.11802219298495
-9.547738693467336,34.933583554853115,35.866387528818215,42.94927088085853
-9.34673366834171,34.933583554853115,35.84674955041895,42.780519568732096
-9.14572864321608,34.933583554853115,35.82711157201968,42.61176825660566
-8.944723618090451,34.933583554853115,35.80747359362042,42.44301694447923
-8.743718592964823,34.933583554853115,35.787835615221155,42.27426563235281
-8.542713567839197,34.933583554853115,35.76819763682189,42.10551432022637
-8.341708542713569,34.933583554853115,35.74855965842262,41.936763008099945
-8.14070351758794,34.933583554853115,35.728921680023355,41.76801169597352
-7.939698492462311,34.933583554853115,35.709283701624095,41.59926038384709
-7.738693467336684,34.933583554853115,35.68964572322483,41.43050907172066
-7.537688442211055,34.933583554853115,35.67000774482556,41.261757759594225
-7.336683417085428,34.933583554853115,35.650369766426294,41.0930064474678
-7.135678391959799,34.933583554853115,35.63073178802703,40.92425513534136
-6.934673366834169,34.933583554853115,35.61109380962777,40.75550382321494
-6.733668341708543,34.933583554853115,35.5914558312285,40.58675251108851
-6.532663316582914,34.933583554853115,35.57181785282924,40.418001198962074
-6.331658291457288,34.933583554853115,35.55217987442997,40.24924988683565
-6.130653266331658,34.933583554853115,35.53254189603071,40.08049857470922
-5.929648241206029,34.933583554853115,35.51290391763144,39.911747262582786
-5.728643216080402,34.933583554853115,35.493265939232174,39.742995950456354
-5.527638190954773,34.933583554853115,35.47362796083291,39.57424463832993
-5.326633165829146,34.933583554853115,35.45398998243364,39.405493326203505
-5.125628140703517,34.933583554853115,35.43435200403437,39.236742014077066
-4.924623115577889,34.933583554853115,35.414714025635114,39.06799070195064
-4.723618090452262,34.933583554853115,35.39507604723585,38.89923938982422
-4.522613065326633,34.933583554853115,35.37543806883658,38.73048807769778
-4.321608040201005,34.933583554853115,35.35580009043731,38.56173676557135
-4.120603015075377,34.933583554853115,35.336162112038046,38.39298545344492
-3.9195979899497484,34.933583554853115,35.31652413363879,38.22423414131849
-3.718592964824121,34.933583554853115,35.29688615523952,38.05548282919206
-3.517587939698492,34.933583554853115,35.27724817684025,37.886731517065634
-3.3165829145728636,34.933583554853115,35.257610198440986,37.7179802049392
-3.1155778894472363,34.933583554853115,35.23797222004172,37.54922889281277
-2.914572864321608,34.933583554853115,35.21833424164246,37.38047758068634
-2.7135678391959805,34.933583554853115,35.19869626324319,37.211726268559914
-2.512562814070352,34.933583554853115,35.179058284843926,37.04297495643348
-2.3115577889447225,34.933583554853115,35.159420306444666,36.87422364430705
-2.110552763819096,34.933583554853115,35.13978232804539,36.705472332180626
-1.9095477386934667,34.933583554853115,35.12014434964614,36.536721020054195
-1.70854271356784,34.933583554853115,35.100506371246865,36.36796970792776
-1.507537688442211,34.933583554853115,35.080868392847606,36.19921839580133
-1.306532663316582,34.933583554853115,35.06123041444833,36.0304670836749
-1.1055276381909551,34.933583554853115,35.04159243604907,35.86171577154847
